iter	Passed	Remaining
879	1392	189
880	1393	188
881	1395	186
882	1397	185
883	1398	183
884	1399	181
885	1400	180
886	1401	178
887	1402	176
888	1403	175
889	1405	173
890	1406	172
891	1407	170
892	1409	168
893	1411	167
894	1412	165
895	1413	164
896	1414	162
897	1415	160
898	1417	159
899	1418	157
900	1419	156
901	1421	154
902	1422	152
903	1424	151
904	1426	149
905	1427	148
906	1428	146
907	1429	144
908	1431	143
909	1432	141
910	1433	140
911	1434	138
912	1436	136
913	1437	135
914	1439	133
915	1441	132
916	1442	130
917	1443	128
918	1445	127
919	1447	125
920	1448	124
921	1449	122
922	1450	121
923	1451	119
924	1454	117
925	1456	116
926	1457	114
927	1459	113
928	1460	111
929	1462	110
930	1463	108
931	1464	106
932	1466	105
933	1467	103
934	1470	102
935	1471	100
936	1473	99
937	1474	97
938	1475	95
939	1476	94
940	1478	92
941	1479	91
942	1480	89
943	1481	87
944	1481	86
945	1484	84
946	1486	83
947	1487	81
948	1489	80
949	1491	78
950	1493	76
951	1494	75
952	1496	73
953	1497	72
954	1499	70
955	1501	69
956	1502	67
957	1504	65
958	1505	64
959	1506	62
960	1507	61
961	1510	59
962	1511	58
963	1512	56
964	1516	54
965	1518	53
966	1520	51
967	1521	50
968	1522	48
969	1524	47
970	1526	45
971	1530	44
972	1533	42
973	1535	40
974	1536	39
975	1538	37
976	1539	36
977	1541	34
978	1545	33
979	1547	31
980	1549	30
981	1551	28
982	1553	26
983	1554	25
984	1555	23
985	1557	22
986	1561	20
987	1563	18
988	1565	17
989	1566	15
990	1567	14
991	1569	12
992	1571	11
993	1573	9
994	1575	7
995	1578	6
996	1580	4
997	1581	3
998	1583	1
999	1584	0
